Seed,Team,Record,Previous Seed,Seed Difference
1,Milwaukee Bucks,58-24,7.0,6.0
2,Boston Celtics,57-25,6.0,4.0
3,Philadelphia 76ers,54-28,8.0,5.0
4,Denver Nuggets,53-29,10.0,6.0
5,Cleveland Cavaliers,51-31,15.0,10.0
6,Memphis Grizzlies,51-31,2.0,-4.0
7,Sacramento Kings,48-34,24.0,17.0
8,New York Knicks,47-35,19.0,11.0
9,Brooklyn Nets,45-37,14.0,5.0
10,Phoenix Suns,45-37,1.0,-9.0
11,Golden State Warriors,44-38,3.0,-8.0
12,Los Angeles Clippers,44-38,18.0,6.0
13,Miami Heat,44-38,4.0,-9.0
14,Los Angeles Lakers,43-39,23.0,9.0
15,Minnesota Timberwolves,42-40,13.0,-2.0
16,New Orleans Pelicans,42-40,20.0,4.0
17,Atlanta Hawks,41-41,16.0,-1.0
18,Toronto Raptors,41-41,11.0,-7.0
19,Chicago Bulls,40-42,12.0,-7.0
20,Oklahoma City Thunder,40-42,27.0,7.0
21,Dallas Mavericks,38-44,5.0,-16.0
22,Utah Jazz,37-45,9.0,-13.0
23,Indiana Pacers,35-47,26.0,3.0
24,Washington Wizards,35-47,21.0,-3.0
25,Orlando Magic,34-48,29.0,4.0
26,Portland Trail Blazers,33-49,25.0,-1.0
27,Charlotte Hornets,27-55,17.0,-10.0
28,Houston Rockets,22-60,30.0,2.0
29,San Antonio Spurs,22-60,22.0,-7.0
30,Detroit Pistons,17-65,28.0,-2.0
