Seed,Team,Record,Previous Seed
1,Golden State Warriors,67-15,8.0
2,Atlanta Hawks,60-22,18.0
3,Houston Rockets,56-26,5.0
4,Los Angeles Clippers,56-26,3.0
5,Memphis Grizzlies,55-27,9.0
6,San Antonio Spurs,55-27,1.0
7,Cleveland Cavaliers,53-29,22.0
8,Portland Trail Blazers,51-31,7.0
9,Chicago Bulls,50-32,11.0
10,Dallas Mavericks,50-32,10.0
11,Toronto Raptors,49-33,12.0
12,Washington Wizards,46-36,15.0
13,New Orleans Pelicans,45-37,21.0
14,Oklahoma City Thunder,45-37,2.0
15,Milwaukee Bucks,41-41,30.0
16,Boston Celtics,40-42,26.0
17,Phoenix Suns,39-43,13.0
18,Brooklyn Nets,38-44,14.0
19,Indiana Pacers,38-44,4.0
20,Utah Jazz,38-44,27.0
21,Miami Heat,37-45,6.0
22,Charlotte Hornets,33-49,
23,Detroit Pistons,32-50,23.0
24,Denver Nuggets,30-52,20.0
25,Sacramento Kings,29-53,24.0
26,Orlando Magic,25-57,28.0
27,Los Angeles Lakers,21-61,25.0
28,Philadelphia 76ers,18-64,29.0
29,New York Knicks,17-65,19.0
30,Minnesota Timberwolves,16-66,17.0
